season_year,pts_bin,PTS,G,FG,FGA,3P,3PA,FT,FTA,TOV,MP,AST,ppg,fga_game,fg_game,3pa_game,3p_game,fta_game,ft_game,ft_pct,min_game,ast_game
1995,2,54440,4381,20605,44151,3232.0,8854.0,9998,13769,7969.0,131097,12908,12.426386669710112,10.07783611047706,4.70326409495549,2.0209997717416117,0.7377311116183519,3.1428897511983567,2.2821273681807805,0.7261239015179025,29.923989956630905,2.9463592787034925
1995,1,87312,4581,31947,67472,5185.0,14170.0,18233,23756,11577.0,163691,18254,19.059593975114606,14.728661864221786,6.973804846103471,3.0932110892818163,1.1318489412791968,5.185767299716219,3.9801353416284653,0.7675113655497559,35.732591137306265,3.984719493560358
1996,5,11918,3543,4449,10467,695.0,2020.0,2325,3463,2692.0,43562,3242,3.363815975162292,2.9542760372565624,1.2557154953429297,0.5701383008749648,0.19616144510302003,0.9774202653118825,0.6562235393734124,0.6713831937626336,12.295230031047135,0.9150437482359582
1996,4,23269,4157,8934,19570,1032.0,2971.0,4369,6413,4186.0,74541,4995,5.597546307433245,4.707721914842434,2.149146018763531,0.7146980995910512,0.2482559538128458,1.5426990618234304,1.0509983160933365,0.6812724154062061,17.93144094298773,1.2015876834255472
1996,3,41197,4478,15669,34333,2342.0,6564.0,7517,10319,6296.0,107681,9013,9.199866011612327,7.667038856632425,3.4991067440821797,1.4658329611433676,0.5230013398838768,2.3043769539973202,1.6786511835640912,0.7284620602771587,24.04667262170612,2.0127288968289414
1996,2,59327,4722,21988,47242,3996.0,10568.0,11355,15062,8927.0,144368,15812,12.563955950868277,10.004659042778483,4.656501482422702,2.238034731046167,0.8462515883100381,3.189750105887336,2.4047013977128335,0.7538839463550657,30.573485811096994,3.34858110969928
1996,1,91149,4932,33471,70610,5333.0,14244.0,18874,24719,12292.0,177615,18646,18.481143552311437,14.316707218167073,6.786496350364963,2.8880778588807785,1.0813057583130576,5.011962692619627,3.826845093268451,0.7635422144908774,36.012773722627735,3.780616382806164
1997,5,12064,3507,4551,10423,564.0,1703.0,2398,3498,2439.0,43686,2906,3.4399771884801824,2.972055888223553,1.2976903336184773,0.48560022811519815,0.16082121471343028,0.9974337040205303,0.6837753065297976,0.6855345911949685,12.456800684345595,0.8286284573709723
1997,4,22415,4027,8471,19499,1736.0,4889.0,3737,5368,4063.0,72139,5547,5.566178296498634,4.842066054134592,2.103551030543829,1.2140551278867644,0.43109014154457415,1.3330022349143282,0.9279860938664017,0.6961624441132638,17.913831636453935,1.377452197665756
1997,3,37015,4307,13848,30386,2241.0,6277.0,7078,9856,6237.0,109468,9997,8.594149059670304,7.0550267007197585,3.2152310192709543,1.4573949384722544,0.5203157650336662,2.288367773392152,1.6433712560947296,0.7181412337662337,25.416299048061294,2.3211051776178313
1997,2,57850,4487,21711,46582,3752.0,10189.0,10676,14393,8358.0,138592,11674,12.892801426342768,10.381546690439047,4.838644974370403,2.2707822598618232,0.8361934477379095,3.2077111655894806,2.3793180298640517,0.741749461543806,30.88745264096278,2.6017383552484956
1997,1,89671,4740,32889,71362,5426.0,14793.0,18467,24023,12481.0,176609,19821,18.917932489451477,15.055274261603376,6.938607594936709,3.1208860759493673,1.1447257383966245,5.068143459915611,3.8959915611814346,0.76872164175998,37.25928270042194,4.181645569620253
1998,5,12003,3532,4625,10677,368.0,1216.0,2385,3718,2490.0,45828,3030,3.398357870894677,3.022933182332956,1.3094563986409966,0.34428086070215175,0.10419026047565119,1.0526613816534542,0.6752548131370328,0.64147391070468,12.975084937712344,0.8578708946772367
1998,4,25173,4110,9600,22336,1519.0,4406.0,4454,6239,4533.0,81181,7238,6.124817518248175,5.434549878345499,2.335766423357664,1.0720194647201946,0.36958637469586375,1.5180048661800487,1.083698296836983,0.7138964577656676,19.75206812652068,1.7610705596107057
1998,3,39035,4374,14702,32889,1956.0,5487.0,7675,10438,6473.0,112909,10412,8.924325560128029,7.51920438957476,3.361225422953818,1.2544581618655692,0.44718792866941015,2.386374028349337,1.7546867855509831,0.7352941176470589,25.813671696387747,2.380429812528578
1998,2,55594,4641,20764,46294,2918.0,8398.0,11148,14892,8204.0,138753,13463,11.978883861236802,9.975005386770093,4.474035768153415,1.8095238095238095,0.6287438052143934,3.208791208791209,2.4020685197155784,0.7485898468976632,29.89722042663219,2.900883430295195
