Rk,Player,PTS,Date,Age,Team,at,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Pos.,Player-additional,season,season_year
305,Kevin McHale,56,1985-03-03,27-074,BOS,,DET,W 138-129,1,41,22,28,0.786,22,28,0.786,0,0,,12,13,0.923,0.83,10,6,16,4,1,3,4,3,56,54.3,20.6,F-C,mchalke01,1984-85,1985
306,Bernard King,55,1985-02-16,28-074,NYK,,NJN,L 117-126,1,44,19,33,0.576,19,32,0.594,0,1,0,17,23,0.739,0.638,7,4,11,3,1,0,6,4,55,38.7,12.4,F,kingbe01,1984-85,1985
307,Bernard King,60,1984-12-25,28-021,NYK,,NJN,L 114-120,1,41,19,30,0.633,19,30,0.633,0,0,,22,26,0.846,0.724,2,5,7,4,0,0,5,2,60,44.9,17.9,F,kingbe01,1984-85,1985
308,Bernard King,52,1984-11-24,27-356,NYK,,IND,W 119-100,1,36,19,31,0.613,19,31,0.613,0,0,,14,17,0.824,0.676,2,5,7,7,0,0,2,4,52,40.9,17.8,F,kingbe01,1984-85,1985
309,Purvis Short,59,1984-11-17,27-138,GSW,,NJN,L 114-131,1,40,20,28,0.714,16,22,0.727,4,6,0.667,15,16,0.938,0.842,2,3,5,0,1,0,3,2,59,46.5,17.9,F-G,shortpu01,1984-85,1985
310,Moses Malone,51,1984-11-14,29-236,PHI,,DET,L 133-137 (OT),1,41,18,32,0.563,18,32,0.563,0,0,,15,18,0.833,0.639,9,8,17,1,1,0,7,4,51,36.4,3.7,C-F,malonmo01,1984-85,1985
311,Bernard King,50,1984-02-01,27-059,NYK,@,DAL,W 105-98,1,41,20,28,0.714,20,28,0.714,0,0,,10,13,0.769,0.741,1,6,7,0,0,0,2,3,50,36.5,,F,kingbe01,1983-84,1984
312,Bernard King,50,1984-01-31,27-058,NYK,@,SAS,W 117-113,1,44,20,30,0.667,20,30,0.667,0,0,,10,13,0.769,0.7,3,5,8,2,0,0,1,5,50,37.8,,F,kingbe01,1983-84,1984
313,Kiki Vandeweghe,50,1984-01-11,25-163,DEN,,SAS,W 163-155,1,34,21,30,0.7,20,29,0.69,1,1,1,7,7,1,0.756,1,3,4,2,1,1,1,1,50,40.7,,F,vandeki01,1983-84,1984
314,Purvis Short,57,1984-01-07,26-189,GSW,,SAS,W 154-133,1,42,24,38,0.632,22,36,0.611,2,2,1,7,8,0.875,0.686,8,7,15,1,1,0,3,2,57,45.2,,F-G,shortpu01,1983-84,1984
315,Kiki Vandeweghe,51,1983-12-13,25-134,DEN,,DET,L 184-186 (3OT),1,50,21,29,0.724,21,29,0.724,0,0,,9,11,0.818,0.754,2,7,9,8,2,1,5,3,51,43.9,,F,vandeki01,1983-84,1984
316,Larry Bird,53,1983-03-30,26-113,BOS,,IND,W 142-116,1,33,21,30,0.7,21,29,0.724,0,1,0,11,11,1,0.761,3,5,8,3,1,2,6,2,53,41.7,,F,birdla01,1982-83,1983
317,Joe Barry Carroll,52,1983-03-05,24-224,GSW,,UTA,W 127-121,1,42,22,32,0.688,22,32,0.688,0,0,,8,13,0.615,0.689,7,7,14,1,1,5,1,2,52,46.8,,C-F,carrojo01,1982-83,1983
