season_year,pts_bin,PTS,G,FG,FGA,3P,3PA,FT,FTA,TOV,MP,AST,ppg,fga_game,fg_game,3pa_game,3p_game,fta_game,ft_game,ft_pct,min_game,ast_game
2000,overall,,,,,,,,,,,,97.5,,,,,,,,,
2001,overall,,,,,,,,,,,,94.8,,,,,,,,,
2002,overall,,,,,,,,,,,,95.5,,,,,,,,,
2003,overall,,,,,,,,,,,,95.1,,,,,,,,,
2004,overall,,,,,,,,,,,,93.4,,,,,,,,,
2005,overall,,,,,,,,,,,,97.2,,,,,,,,,
2006,overall,,,,,,,,,,,,97,,,,,,,,,
2007,overall,,,,,,,,,,,,98.7,,,,,,,,,
2008,overall,,,,,,,,,,,,99.9,,,,,,,,,
2009,overall,,,,,,,,,,,,100,,,,,,,,,
2010,overall,,,,,,,,,,,,100.4,,,,,,,,,
2011,overall,,,,,,,,,,,,99.6,,,,,,,,,
2012,overall,,,,,,,,,,,,96.3,,,,,,,,,
2013,overall,,,,,,,,,,,,98.1,,,,,,,,,
2014,overall,,,,,,,,,,,,101,,,,,,,,,
2015,overall,,,,,,,,,,,,100,,,,,,,,,
2016,overall,,,,,,,,,,,,102.7,,,,,,,,,
2017,overall,,,,,,,,,,,,105.6,,,,,,,,,
2018,overall,,,,,,,,,,,,106.3,,,,,,,,,
2019,overall,,,,,,,,,,,,111.2,,,,,,,,,
2020,overall,,,,,,,,,,,,111.8,,,,,,,,,
2021,overall,,,,,,,,,,,,112.1,,,,,,,,,
2022,overall,,,,,,,,,,,,110.6,,,,,,,,,
2023,overall,,,,,,,,,,,,114.7,,,,,,,,,
